VIDEO TITLE,year,X PERCH1,X PERCH2,X PERCH3,X PERCH4,X PERCH5,X PERCH6,X PERCH7,X PERCH8,perch1P,perch2P,perch3P,perch4P,perch5P, perch6P, perch7P, perch8P, perch1M, perch2M, perch3M, perch4M, perch5M, perch6M, perch7M, perch8M
HE21305_100621_21KR8_mirror_IB,2021,NA,NA,NA,665,554,339,270,35,#ARVO!,#ARVO!,#ARVO!,715,604,389,320,85,#ARVO!,#ARVO!,#ARVO!,615,504,289,220,-15
HE21306_110621_21KR30_mirror_IB,2021,NA,NA,NA,770,661,467,405,192,#ARVO!,#ARVO!,#ARVO!,820,711,517,455,242,#ARVO!,#ARVO!,#ARVO!,720,611,417,355,142
HE21307_130621_21EK2_mirror_IB,2021,NA,NA,NA,726,617,430,365,143,#ARVO!,#ARVO!,#ARVO!,776,667,480,415,193,#ARVO!,#ARVO!,#ARVO!,676,567,380,315,93
HE21308_130621_21EK2_mirror_IB,2021,NA,NA,NA,736,625,461,397,184,#ARVO!,#ARVO!,#ARVO!,786,511,447,447,234,#ARVO!,#ARVO!,#ARVO!,686,411,347,347,134
HE21309_13062_21KR4_mirror_IB,2021,NA,NA,NA,678,574,399,338,119,#ARVO!,#ARVO!,#ARVO!,728,624,449,388,169,#ARVO!,#ARVO!,#ARVO!,628,524,349,288,69
HE21310_130621_21KR4_mirror_IB,2021,NA,NA,NA,651,539,319,272,11,#ARVO!,#ARVO!,#ARVO!,701,589,369,322,61,#ARVO!,#ARVO!,#ARVO!,601,489,269,222,-39
HE21311_140621_21OW1_mirror_IB,2021,NA,NA,NA,606,493,269,221,NA,#ARVO!,#ARVO!,#ARVO!,656,543,319,271,#ARVO!,#ARVO!,#ARVO!,#ARVO!,556,443,219,171,#ARVO!
HE21312_140621_21OW1_mirror_IB,2021,NA,NA,NA,724,618,442,380,171,#ARVO!,#ARVO!,#ARVO!,774,668,492,430,221,#ARVO!,#ARVO!,#ARVO!,674,568,392,330,121
HE21314_160621_21JJ6_mirror_IB,2021,NA,NA,NA,715,607,443,366,162,#ARVO!,#ARVO!,#ARVO!,765,657,493,416,212,#ARVO!,#ARVO!,#ARVO!,665,557,393,316,112
HE21315_170621_21DT2_mirror_IB,2021,NA,NA,NA,729,622,438,378,169,#ARVO!,#ARVO!,#ARVO!,779,672,488,428,219,#ARVO!,#ARVO!,#ARVO!,679,572,388,328,119
HE21316_180621_21EK11_mirror_IB,2021,NA,NA,NA,715,595,390,322,73,#ARVO!,#ARVO!,#ARVO!,765,645,440,372,123,#ARVO!,#ARVO!,#ARVO!,665,545,340,272,23
HE21317_180621_21JJ11_mirror_IB,2021,NA,NA,NA,716,593,389,317,67,#ARVO!,#ARVO!,#ARVO!,766,643,439,367,117,#ARVO!,#ARVO!,#ARVO!,666,543,339,267,17
HE21318_210621_21EK6_mirror_IB,2021,NA,NA,NA,736,634,452,390,180,#ARVO!,#ARVO!,#ARVO!,786,684,502,440,230,#ARVO!,#ARVO!,#ARVO!,686,584,402,340,130
