Ringnr|NestID|Location|Total_time|perch1|perch2|perch3|perch4|perch5|5perches|Bottom|Middle|Top|T_new|T_home|ground|latency|Explored|move_home|movement|Mov_sum
HB45009|19KR9||600.64|0|0|0|0|0|NA|0|24.086|576.546|0|600.64|0|600.64|n|72|0|72
HB45009|||600.161|166.339|10.434|149.464|5.224|19.706|469.719|64|219.571|316.509|480.153|120.008|4.252|120.006|y|29|198|227
HB45010|19KR13||591.164|0|0|0|0|0|NA|0|0|591.164|0|591.164|0|591.164|n|0|0|0
HB45011|19JJ1||600.825|4.989|20.696|226.552|103.184|29.043|48.211|helmi.25|33.11|565.451|404.351|196.474|0|61.305|y|28|74|102
HB45014|19EK1||600.104|0|0|0|0|0|NA|11.008|94.13|494.961|0|600.104|0|600.104|n|0|0|0
HB45015|19EK1||601.904|0|0|0|0|0|NA|0|0|601.904|0|601.903|0|601.904|n|0|0|0
HB45015|19EK1||601.259|113.454|40.37|130.165|10.609|78.185|186.708|0|1.969|606.015|371.925|229.334|0|99.249|y|37|86|123
HB45016|19EK3||600.405|191.378|15.003|364.894|maalis.17|2.285|208.69|0|4.641|595.761|580.158|20.247|0|4.035|y|4|57|61
HB45017|19EK3||593.917|0|0|234.261|0|143.605|NA|0|561.352|32.564|377.867|216.05|0|216.048|y|1|2|3
HB45018|19EK12||588.373|37.028|0|97.147|0|30.032|NA|0|9.214|579.151|164.219|424.154|0|424.152|y|46|14|60
HB45019|19EK11||600.287|0|157.488|162.494|46.521|194.52|NA|0|130.263|469.037|563.635|36.652|0|1.126|y|14|49|63
HB45020|19EK4||600.103|0|0|0|0|0|NA|0|600.103|0|0|600.103|0|600.103|n|0|0|0
HB45020|21OW3||600.528|0|0|0|0|0|NA|600.527|0|0|0|600.528|0|600.528|n|0|0|0
HB45021|19EK8||600.252|112.326|66.187|153.512|5.243|36.579|366.87|0|0|600.252|379.058|221.194|0|137.396|y|14|27|41
HB45023||Kodderviken|600.092|157.729|78.019|135.368|32.914|105.245|83.653|0|12.827|587.259|509.416|90.676|0|3.121|y|35|156|191
HB45023|20KR4||600.698|85.257|150.92|103.52|116.663|20.377|18.714|10.767|248.223|333.435|476.906|123.792|0|35.867|y|46|184|230
HB45024|19EK16||600.223|0|0|0|0|0|NA|0|43.602|556.615|0|600.223|0|600.223|n|214|0|214
HB45024|||600.258|0|0|0|0|0|NA|1.801|104.77|490.771|0|600.258|0|600.258|n|172|0|172
